REF,SEATNAME,REGION,COUNTY,WINNER01,SECOND01,TURN01,MAJ01,CON01,LAB01,LD01,SNP01,PC01,BNP01,GRN01,UKIP01,OTH01,SWING01,SEATCH01,CONVT01,LABVT01,LDVT01,SNPVT01,PCVT01,UKIPVT01,GRNVT01,BNPVT01,OTHVT01,MAJVT01,TOTVT01,ELEC01,CON9701,LAB9701,LD9701,TURN9701,MARGINAL,BATTLE,SEAT,LABPPC01,LABMP01,LABSEX01,LABRAC01,CONPPC01,CONMP01,CONSEX01,CONRAC01,LDPPC01,LDMP01,LDSEX01,LDRACE01,WIN97,SEC97,TURN97,MAJ97,CON97,LAB97,LD97,SNP97,PC97,REF97,OTHER97,SWG9297,ALLSWG97,GAIN97,CONVT97,LABVT97,LDVT97,SNPVT97,PCVT97,REFVT97,OTHVT97,MAJVT97,ELEC97,TOTVT97,CONPPC97,CONSEX97,CONRAC97,LABPPC97,LABSEX97,LABRAC97,LDPPC97,LDSEX97,LDRACE97,NATPPC97,NATSEX97,NATRAC97,WIN92,SEC92,TURN92,MAJ92,CON92,LAB92,LD92,SNP92,PC92,OTH92,CONVT92,LABVT92,LDVT92,OTHVT92,NATVT92,MAJVT92,TOTVT92,ELEC92,OWNOCC,OWNER,RENTPRIV,HSE_ASS,COUNCIL,SEC_HOME,CAR,ONEROOM,NO_CH,WHITE,BLACK,IPB,OTHERNW,NONWHITE,ECACTIVE,INACTIVE,FT_WORK,PT_WORK,SELFEMPL,GOVSCHEM,DOLE,UNDER_16,AGE16_24,AGE25_39,AGE40_65,PENSION,WORKAGE,SGPARENT,MIGRANTS,ILLNESS,SEG_I,SEG_II,SEG_IIIN,SEG_IIIM,SEG_IV,SEG_V,TOT_POP,ACORN1,ACORN2,ACORN3,ACORN4,ACORN5,ACORN6,ACORN7,ACORN8,ACORN9,ACORN10,ACORN11,ACORN12,ACORN13,ACORN14,ACORN15,ACORN16
1,Aberavon,10,55,2,4,60.8,53.4,7.6,63.1,9.7,,9.8,,,,9.7,3.95,0,"2,296","19,063","2,933",0,"2,955",0,0,0,"2,943","16,108","30,190","49,660",-.3,-8.2,-1.6,-11.1,5.0,4.00,Aberavon,Hywel Francis,0,0,0,Ali Miraj,0,0,1,Chris Davies,0,0,0,2,3,71.9,60.0,7.9,71.3,11.3,.0,5.8,2.7,.9,5.1,2.7,0,"2,835","25,650","4,079",0,"2,088",970,341,"21,571","50,025","35,963",Peter Harper,0,0,John Morris,0,0,Ron McConville,0,0,Phil Cockwell,0,0,2,1,77.0,53.2,13.9,67.1,12.5,.0,4.8,1.8,"5,567","26,877","4,999",707,"1,919","21,310","40,069","52,038",70.4,30.4,2.7,1.8,24.1,.1,60.8,1.1,20.8,99.2,.3,.2,.2,.8,67.5,32.5,64.4,15.0,7.0,2.2,11.4,19.8,11.7,20.5,26.7,21.3,58.9,20.7,6.7,22.0,3.5,19.9,11.4,34.4,19.9,8.3,64922,2.4,.0,.0,.7,5.8,.0,.0,.1,7.9,36.4,31.3,.8,3.5,10.3,.7,.2
2,Aberdeen Central,11,58,2,5,52.8,25.1,14.2,45.5,17.2,20.4,,,,,2.7,-.47,0,"3,761","12,025","4,547","5,379",0,0,0,0,717,"6,646","26,429","50,098",-5.3,-4.3,4.0,-12.9,5.0,3.00,Aberdeen Central,Frank Doran MP,1,0,0,Stewart Whyte,0,0,0,Eleanor Anderson,0,1,0,2,1,65.6,30.3,19.5,49.8,13.2,16.2,.0,1.3,,8.0,8.0,0,"6,944","17,745","4,714","5,767",0,446,,"10,801","54,257","35,616",Jill Wesley,1,0,Frank Doran,0,0,John Brown,0,0,Brian Topping,0,0,2,1,67.6,14.3,28.8,43.1,10.6,17.6,.0,.0,"10,872","16,269","3,985",0,"6,636","5,397","37,762","55,882",43.2,,14.3,,42.5,,,,,97.4,,,,,,,,,,,6.7,,,,,,,,,,9.7,28.4,22.4,17.5,12.9,8.4,73286,3.5,.0,.6,2.1,.5,8.3,5.3,34.7,1.4,1.1,2.1,2.6,2.5,8.3,21.0,5.2
3,Aberdeen North,11,58,2,5,57.6,14.7,10.0,43.3,16.4,28.7,,,,,1.5,-.22,0,"3,047","13,157","4,991","8,708",0,0,0,0,454,"4,449","30,357","52,746",-5.0,-4.5,2.3,-13.2,5.0,,Aberdeen North,Malcolm Savidge MP,1,0,0,Richard Cowling,0,0,0,Jim Donaldson,0,0,0,2,5,70.7,26.1,15.0,47.9,14.1,21.8,.0,1.2,,8.2,6.7,0,"5,763","18,389","5,421","8,379",0,463,,"10,010","54,302","38,415",James Gifford,0,0,Malcolm Savidge,0,0,Mike Rumbles,0,0,Brian Adams,0,0,2,3,69.7,11.3,18.6,35.1,23.8,22.5,.0,.0,"7,002","13,189","8,952",0,"8,443","4,237","37,586","53,944",46.6,,4.3,,49.0,,,,,99.2,,,,,,,,,,,6.0,,,,,,,,,,3.5,20.8,25.7,25.5,15.5,8.3,63228,4.0,.0,.2,12.3,14.3,3.9,.0,.7,4.3,4.5,11.0,.2,3.8,30.2,4.6,6.2
4,Aberdeen South,11,58,2,3,62.6,11.9,19.2,39.8,27.9,11.6,,,,,1.3,-5.85,0,"7,098","14,696","10,308","4,293",0,0,0,0,495,"4,388","36,890","58,907",-7.1,4.6,.3,-10.2,2.0,4.00,Aberdeen South,Anne Begg MP,1,1,0,Moray McDonald,0,0,0,Ian Yuill,0,0,0,2,3,72.8,7.6,26.4,35.3,27.6,9.8,.0,1.0,,11.2,5.2,2,"11,621","15,541","12,176","4,299",0,425,,"3,365","60,490","44,062",Raymond Robertson,0,0,Anne Begg,1,0,Nicol Stephen,0,0,Jim Towers,0,0,1,3,73.1,10.7,37.4,23.9,26.7,12.1,.0,.0,"16,487","10,545","11,762",0,"5,336","4,725","44,130","60,352",61.2,,10.7,,28.1,,,,,98.9,,,,,,,,,,,4.5,,,,,,,,,,8.8,29.2,23.8,19.3,11.5,6.2,74086,21.1,.0,1.1,4.0,3.5,9.1,5.6,13.6,8.5,3.3,5.8,.3,2.6,12.5,6.3,2.4
5,Aberdeenshire West & Kincardine,11,58,3,1,62.0,12.7,30.8,12.3,43.5,12.2,,,,,1.1,-3.66,0,"11,686","4,669","16,507","4,634",0,0,0,0,418,"4,821","37,914","61,180",-4.1,3.2,2.5,-11.1,2.0,5.00,Aberdeenshire West & Kincardin,Kevin Hutchens,0,0,0,Tom Kerr,0,0,0,Sir Robert Smith MP,1,0,0,3,1,73.0,6.2,34.9,9.1,41.1,13.1,.0,1.9,,6.2,8.3,3,"15,080","3,923","17,742","5,639",0,805,,"2,662","59,123","43,189",George Kynoch,0,0,Quaisra Khan,1,1,Robert Smith,0,0,Joy Mowatt,1,0,1,3,76.9,10.5,45.1,6.8,34.7,12.5,.0,.9,"19,123","2,886","14,686",381,"5,280","4,437","42,356","55,093",65.3,,16.4,,18.3,,,,,99.3,,,,,,,,,,,3.8,,,,,,,,,,5.9,31.2,20.8,20.4,13.8,5.6,82144,18.8,11.2,1.3,14.4,16.2,1.6,.2,.8,9.7,2.6,8.3,1.1,2.1,9.5,1.5,.4
6,Airdrie & Shotts,11,62,2,5,54.4,38.9,6.2,58.2,7.5,19.3,,,,,8.8,.44,0,"1,960","18,478","2,376","6,138",0,0,0,0,"2,784","12,340","31,736","58,349",-2.7,-3.6,3.3,-17.0,5.0,,Airdrie & Shotts,Rt. Hon Helen Liddell MP,1,1,0,Gordon McIntosh,0,0,0,John Love,0,0,0,2,5,71.4,37.4,8.9,61.8,4.2,24.4,.0,.7,,2.7,3.5,0,"3,660","25,460","1,719","10,048",0,294,,"15,412","57,673","41,181",Nicholas Brook,0,0,Helen Liddell,1,0,Richard Wolseley,0,0,Keith Robertson,0,0,2,5,74.7,44.4,14.9,62.5,4.5,18.1,.0,.0,"6,588","27,678","1,997",0,"8,023","19,655","44,286","59,264",33.6,,3.9,,62.5,,,,,99.3,,,,,,,,,,,15.9,,,,,,,,,,2.2,24.4,19.5,26.3,18.0,8.5,76185,3.2,.1,.0,2.5,9.2,.5,.0,.1,2.1,6.6,8.2,1.0,3.4,36.5,11.1,15.1
7,Aldershot,1,25,1,3,57.9,14.5,42.2,25.1,27.7,,,,1.4,1.8,1.9,-.78,0,"19,106","11,391","12,542",0,0,797,630,0,849,"6,564","45,315","78,262",-.5,1.0,-2.8,-13.2,3.0,2.00,Aldershot,Luke Akehurst,0,0,0,Gerald Howarth MP,1,0,0,Adrian Collett,0,0,0,1,3,71.1,12.2,42.7,24.1,30.5,.0,.0,,2.7,12.9,9.8,0,"23,119","13,057","16,498",0,0,,"1,477","6,621","76,189","54,151",Gerald Howarth,0,0,Terence Bridgeman,0,0,Adrian Collett,0,0,,,,1,3,78.3,31.7,58.1,13.8,26.4,.0,.0,1.6,"34,300","8,154","15,584",956,0,"18,716","58,994","75,321",71.9,15.6,6.7,1.8,13.8,.1,81.2,1.9,7.0,97.7,.6,.7,1.0,2.3,83.8,16.2,70.6,14.1,9.3,.6,5.3,21.6,15.7,26.1,24.6,12.0,66.5,14.2,14.4,7.7,9.5,31.2,13.0,24.3,10.3,4.2,116293,16.3,.0,.6,18.8,18.9,3.0,.6,5.0,10.0,10.0,3.8,1.8,2.5,7.6,.4,.5
8,Aldridge - Brownhills,5,7,1,2,60.6,10.0,50.2,40.2,8.6,,,,,,1.0,2.26,0,"18,974","15,206","3,251",0,0,0,0,0,379,"3,768","37,810","62,388",3.0,-1.5,-2.6,-13.7,2.0,1.00,Aldridge Brownhills,Ian Geary,0,0,0,Richard Shepherd MP,1,0,0,Monica Howes,0,1,0,1,2,74.3,5.4,47.1,41.7,11.2,.0,.0,,,7.8,7.8,0,"21,856","19,330","5,184",0,0,,,"2,526","62,441","46,370",Richard Sheperd,0,0,Janos Toth,0,0,Celia Downie,1,0,,,,1,2,81.9,21.1,54.3,33.3,12.4,.0,.0,.0,"28,431","17,407","6,503",0,0,"11,024","52,341","63,920",73.0,27.5,2.6,1.4,22.0,.0,73.9,1.4,19.7,98.0,.5,1.1,.4,2.0,79.7,20.3,64.5,15.9,10.2,1.3,8.0,18.2,13.0,19.5,31.4,18.0,63.8,13.5,6.1,12.0,4.9,30.5,12.1,33.8,13.0,3.9,80811,14.3,.0,.2,3.8,10.9,.1,.0,.4,18.8,18.1,20.7,.3,3.4,7.3,1.1,.6
9,Altrincham & Sale West,8,3,1,2,60.7,6.8,46.2,39.4,14.4,,,,,,,1.92,0,"20,113","17,172","6,283",0,0,0,0,0,0,"2,941","43,568","71,820",3.0,-.8,1.8,-12.7,1.0,1.00,Altrincham & Sale West,Jane Baugh,0,1,0,Graham Brady MP,1,0,0,Christopher Gaskell,0,0,0,1,2,73.3,2.9,43.2,40.3,12.6,.0,.0,2.6,1.4,12.6,12.6,0,"22,348","20,843","6,535",0,0,"1,348",708,"1,505","70,625","51,782",Graham Brady,0,0,Jane Baugh,1,0,Marc Ramsbottom,0,0,,,,1,2,78.4,28.0,54.5,26.4,18.4,.0,.0,.7,"30,343","14,727","10,261",366,0,"15,616","55,697","71,031",77.0,27.8,5.9,1.5,14.6,.1,75.5,.9,16.6,97.5,.5,1.1,1.0,2.5,77.8,22.2,63.8,16.3,12.9,.7,6.4,19.5,12.1,20.8,28.5,19.0,61.5,15.6,8.1,10.9,13.5,40.7,16.4,17.5,8.4,2.4,95441,36.9,.0,1.2,3.3,9.4,6.8,.9,.7,17.2,5.4,5.3,3.7,1.1,6.6,.6,1.0
10,Alyn & Deeside,10,48,2,1,58.6,26.0,26.3,52.3,12.9,,3.3,,2.5,1.4,1.3,6.53,0,"9,303","18,525","4,585",0,"1,182",481,881,0,464,"9,222","35,421","60,478",3.5,-9.6,3.2,-13.6,5.0,3.00,Alyn & Deeside,Mark Tami,0,0,0,Mark Isherwood,0,0,0,Derek Burnham,0,0,0,2,1,72.2,39.1,22.8,61.9,9.7,.0,1.8,3.9,,12.6,12.5,0,"9,552","25,955","4,076",0,738,"1,627",,"16,403","58,091","41,948",Timothy Roberts,0,0,Barry Jones,0,0,Eleanor Burnham,1,0,Siw Hills,1,0,2,1,78.7,14.0,36.9,50.9,9.7,.0,1.1,1.4,"16,770","23,157","4,431",633,517,"6,387","45,508","57,815",76.5,26.1,3.9,1.4,16.7,.1,75.9,1.3,16.3,99.4,.1,.2,.3,.6,78.1,21.9,67.2,15.2,9.3,1.3,7.0,20.7,13.4,21.8,27.6,16.6,62.8,15.4,7.2,12.2,3.9,27.2,11.4,33.4,16.4,4.5,78332,16.3,.0,.3,5.5,20.2,.0,.0,.0,13.7,19.7,14.8,.8,2.7,5.3,.2,.5
